PARAU_07335	e335a785a91594ad35a94ebec00c6a8b	361	SUPERFAMILY	SSF52540		1	191	1.78E-8	T	19-07-2018
PARAU_07335	e335a785a91594ad35a94ebec00c6a8b	361	SUPERFAMILY	SSF53927		205	345	1.16E-33	T	19-07-2018
PARAU_03433	e569dfc0b25f4a2cca5797145326b01f	923	SUPERFAMILY	SSF52540		405	603	1.22E-28	T	19-07-2018
PARAU_03433	e569dfc0b25f4a2cca5797145326b01f	923	SUPERFAMILY	SSF52540		541	721	3.61E-37	T	19-07-2018
PARAU_03433	e569dfc0b25f4a2cca5797145326b01f	923	SUPERFAMILY	SSF52540		800	874	3.61E-37	T	19-07-2018
PARAU_08488	d9fe446e15b8b2c323a8c570a875ba2d	1195	SUPERFAMILY	SSF56112		970	1065	5.91E-54	T	19-07-2018
PARAU_08488	d9fe446e15b8b2c323a8c570a875ba2d	1195	SUPERFAMILY	SSF56112		762	939	5.91E-54	T	19-07-2018
PARAU_08488	d9fe446e15b8b2c323a8c570a875ba2d	1195	SUPERFAMILY	SSF50998		302	356	1.73E-9	T	19-07-2018
PARAU_08488	d9fe446e15b8b2c323a8c570a875ba2d	1195	SUPERFAMILY	SSF50998		135	263	1.73E-9	T	19-07-2018
PARAU_05882	3a952f1093f1f6fd28c1a288569eff19	1342	SUPERFAMILY	SSF52540		412	666	1.5E-86	T	19-07-2018
PARAU_05882	3a952f1093f1f6fd28c1a288569eff19	1342	SUPERFAMILY	SSF52540		1087	1336	2.92E-88	T	19-07-2018
PARAU_05882	3a952f1093f1f6fd28c1a288569eff19	1342	SUPERFAMILY	SSF90123		80	405	3.92E-50	T	19-07-2018
PARAU_05882	3a952f1093f1f6fd28c1a288569eff19	1342	SUPERFAMILY	SSF90123		748	1077	3.01E-54	T	19-07-2018
PARAU_06245	eeb8cfdd7e74999ce5e8100cba6158cf	933	SUPERFAMILY	SSF49785		36	206	1.7E-30	T	19-07-2018
PARAU_06245	eeb8cfdd7e74999ce5e8100cba6158cf	933	SUPERFAMILY	SSF49303		781	898	7.19E-17	T	19-07-2018
PARAU_06245	eeb8cfdd7e74999ce5e8100cba6158cf	933	SUPERFAMILY	SSF49303		223	317	6.47E-17	T	19-07-2018
PARAU_06245	eeb8cfdd7e74999ce5e8100cba6158cf	933	SUPERFAMILY	SSF49303		669	778	1.01E-14	T	19-07-2018
PARAU_06245	eeb8cfdd7e74999ce5e8100cba6158cf	933	SUPERFAMILY	SSF51445		325	663	3.29E-66	T	19-07-2018
PARAU_08088	31282c789cf191aed67388ddcd33125b	460	SUPERFAMILY	SSF50978		63	412	1.2E-45	T	19-07-2018
PARAU_05168	d1dc9478e4c02ac29b2cc17becee07e7	609	SUPERFAMILY	SSF52743		222	596	2.23E-61	T	19-07-2018
PARAU_05168	d1dc9478e4c02ac29b2cc17becee07e7	609	SUPERFAMILY	SSF54897		32	185	8.84E-29	T	19-07-2018
PARAU_07079	70d9c58f6279f6c603d130d219a34616	692	SUPERFAMILY	SSF48371		652	685	3.8E-10	T	19-07-2018
